Feature,Coef_Fbeta,Coef_F1,Abs_Fbeta,Abs_F1,Delta,Abs_Delta
PhoneService_Yes,-0.6427199653534091,-0.43877378377220894,0.6427199653534091,0.43877378377220894,-0.2039461815812002,0.2039461815812002
MultipleLines_No phone service,0.0,0.1760788726661587,0.0,0.1760788726661587,-0.1760788726661587,0.1760788726661587
MonthlyCharges,0.0,-0.04281462676941635,0.0,0.04281462676941635,0.04281462676941635,0.04281462676941635
InternetService_No,-0.795926234952052,-0.8353657857174822,0.795926234952052,0.8353657857174822,0.039439550765430265,0.039439550765430265
InternetService_Fiber optic,0.7973194979808118,0.8348082332053051,0.7973194979808118,0.8348082332053051,-0.03748873522449325,0.03748873522449325
PaymentMethod_Mailed check,0.06664484087480968,0.09718091625860437,0.06664484087480968,0.09718091625860437,-0.030536075383794686,0.030536075383794686
Contract_Two year,-1.6002705890853037,-1.5726334895655403,1.6002705890853037,1.5726334895655403,-0.027637099519763453,0.027637099519763453
StreamingTV_Yes,0.25345287848915093,0.2740730331103385,0.25345287848915093,0.2740730331103385,-0.020620154621187547,0.020620154621187547
StreamingMovies_Yes,0.19654453976272845,0.21686978891363595,0.19654453976272845,0.21686978891363595,-0.0203252491509075,0.0203252491509075
PaymentMethod_Electronic check,0.369535539663889,0.38906539864082534,0.369535539663889,0.38906539864082534,-0.01952985897693632,0.01952985897693632
PaymentMethod_Credit card (automatic),0.0,0.018065811424854823,0.0,0.018065811424854823,-0.018065811424854823,0.018065811424854823
MultipleLines_Yes,0.26333357084909137,0.2785536225721831,0.26333357084909137,0.2785536225721831,-0.01522005172309171,0.01522005172309171
SeniorCitizen,0.15818748173614341,0.16709560888819794,0.15818748173614341,0.16709560888819794,-0.008908127152054524,0.008908127152054524
PaperlessBilling_Yes,0.2736395084523979,0.28138345137732923,0.2736395084523979,0.28138345137732923,-0.007743942924931357,0.007743942924931357
Contract_One year,-0.7795618275703968,-0.7728174758881,0.7795618275703968,0.7728174758881,-0.006744351682296812,0.006744351682296812
OnlineSecurity_Yes,-0.396209510486997,-0.3917561384087813,0.396209510486997,0.3917561384087813,-0.004453372078215667,0.004453372078215667
Partner_Yes,-0.024391536059755844,-0.028113639424623815,0.024391536059755844,0.028113639424623815,0.00372210336486797,0.00372210336486797
TotalCharges,0.561888591958243,0.5589388652985007,0.561888591958243,0.5589388652985007,0.0029497266597423577,0.0029497266597423577
gender_Male,-0.047591922015589226,-0.05051893458503125,0.047591922015589226,0.05051893458503125,0.002927012569442021,0.002927012569442021
TechSupport_Yes,-0.3463350895602353,-0.3442670049549153,0.3463350895602353,0.3442670049549153,-0.0020680846053199864,0.0020680846053199864
OnlineBackup_Yes,-0.14707345991799803,-0.14514223239710336,0.14707345991799803,0.14514223239710336,-0.0019312275208946683,0.0019312275208946683
DeviceProtection_Yes,-0.04419811644663015,-0.04597197905395118,0.04419811644663015,0.04597197905395118,0.0017738626073210279,0.0017738626073210279
Dependents_Yes,-0.21933811588381388,-0.22109077506659103,0.21933811588381388,0.22109077506659103,0.0017526591827771443,0.0017526591827771443
tenure,-1.22463146816125,-1.2243853070203734,1.22463146816125,1.2243853070203734,-0.0002461611408766107,0.0002461611408766107
